timestamp,latency,status_code,cluster,version,error
2026-03-25T06:01:54.687454,423.63762855529785,200,cluster-new,v1.0.0,
2026-03-25T06:01:55.311365,409.61623191833496,200,cluster-new,v1.0.0,
2026-03-25T06:01:55.921265,420.8259582519531,200,cluster-new,v1.0.0,
2026-03-25T06:01:56.542355,421.8297004699707,200,cluster-new,v1.0.0,
2026-03-25T06:01:57.164448,418.6372756958008,200,cluster-new,v1.0.0,
2026-03-25T06:01:57.783354,414.64686393737793,200,cluster-new,v1.0.0,
2026-03-25T06:01:58.398280,418.8191890716553,200,cluster-new,v1.0.0,
2026-03-25T06:01:59.017366,419.89898681640625,200,cluster-new,v1.0.0,
2026-03-25T06:01:59.637410,421.21243476867676,200,cluster-new,v1.0.0,
2026-03-25T06:02:00.258887,417.0808792114258,200,cluster-new,v1.0.0,
2026-03-25T06:02:00.876238,416.961669921875,200,cluster-new,v1.0.0,
2026-03-25T06:02:01.493464,417.2494411468506,200,cluster-new,v1.0.0,
2026-03-25T06:02:02.110984,419.1398620605469,200,cluster-new,v1.0.0,
2026-03-25T06:02:02.730391,418.75171661376953,200,cluster-new,v1.0.0,
2026-03-25T06:02:03.349413,417.9086685180664,200,cluster-new,v1.0.0,
2026-03-25T06:02:03.967583,414.92748260498047,200,cluster-new,v1.0.0,
2026-03-25T06:02:04.582777,417.58012771606445,200,cluster-new,v1.0.0,
2026-03-25T06:02:05.200649,418.29776763916016,200,cluster-new,v1.0.0,
2026-03-25T06:02:05.819215,417.31739044189453,200,cluster-new,v1.0.0,
2026-03-25T06:02:06.436794,418.7355041503906,200,cluster-new,v1.0.0,
2026-03-25T06:02:07.055797,419.85630989074707,200,cluster-new,v1.0.0,
2026-03-25T06:02:07.675919,418.6420440673828,200,cluster-new,v1.0.0,
2026-03-25T06:02:08.294830,414.1709804534912,200,cluster-new,v1.0.0,
2026-03-25T06:02:08.909278,418.5757637023926,200,cluster-new,v1.0.0,
2026-03-25T06:02:09.528119,416.4547920227051,200,cluster-new,v1.0.0,
2026-03-25T06:02:10.144839,415.1303768157959,200,cluster-new,v1.0.0,
2026-03-25T06:02:10.760232,418.4074401855469,200,cluster-new,v1.0.0,
2026-03-25T06:02:11.378907,419.6352958679199,200,cluster-new,v1.0.0,
2026-03-25T06:02:11.998807,414.8106575012207,200,cluster-new,v1.0.0,
2026-03-25T06:02:12.613881,417.8287982940674,200,cluster-new,v1.0.0,
2026-03-25T06:02:13.231976,425.89330673217773,200,cluster-new,v1.0.0,
2026-03-25T06:02:13.858133,414.3667221069336,200,cluster-new,v1.0.0,
2026-03-25T06:02:14.472765,413.88392448425293,200,cluster-new,v1.0.0,
2026-03-25T06:02:15.086914,420.14551162719727,200,cluster-new,v1.0.0,
2026-03-25T06:02:15.707323,419.4602966308594,200,cluster-new,v1.0.0,
2026-03-25T06:02:16.327057,424.44801330566406,200,cluster-new,v1.0.0,
2026-03-25T06:02:16.951773,417.7260398864746,200,cluster-new,v1.0.0,
2026-03-25T06:02:17.569768,413.898229598999,200,cluster-new,v1.0.0,
2026-03-25T06:02:18.183942,418.318510055542,200,cluster-new,v1.0.0,
2026-03-25T06:02:18.802530,417.987585067749,200,cluster-new,v1.0.0,
2026-03-25T06:02:19.420782,421.73314094543457,200,cluster-new,v1.0.0,
2026-03-25T06:02:20.042786,415.10939598083496,200,cluster-new,v1.0.0,
2026-03-25T06:02:20.658163,420.9258556365967,200,cluster-new,v1.0.0,
2026-03-25T06:02:21.279353,413.1598472595215,200,cluster-new,v1.0.0,
2026-03-25T06:02:21.892778,419.0025329589844,200,cluster-new,v1.0.0,
2026-03-25T06:02:22.512059,420.03440856933594,200,cluster-new,v1.0.0,
2026-03-25T06:02:23.132358,416.0425662994385,200,cluster-new,v1.0.0,
2026-03-25T06:02:23.748666,416.1653518676758,200,cluster-new,v1.0.0,
2026-03-25T06:02:24.365110,414.65306282043457,200,cluster-new,v1.0.0,
